ID_Customer,customer_top_product_group,customer_top_product,customer_top_model_probability,customer_top_expected_order_value,customer_top_expected_revenue,customer_top_lead_score,customer_lead_tier
C00001,grp3,Premium Standard Type 1,0.625074849408664,2803.981949595315,1752.6985948879037,0.5428765041281103,Warm
C00002,grp3,Core Advanced Type 1,0.7298291775874433,180.91129380002147,132.03434077034998,0.47519522201082876,Warm
C00003,grp3,Premium Custom Type 1,0.7908813015359583,2315.490538131079,1831.2781704913043,0.6507263240057994,Hot
C00004,grp3,Premium Custom Type 1,0.5627550481432465,4066.645221803384,2288.5251275774667,0.5118719890798242,Warm
C00005,grp3,Training Type 2,0.7912803339535568,2559.631470781621,2025.3860449981148,0.5486790757479921,Warm
C00006,grp3,Premium Standard Type 2,0.8860132785638625,2210.0343835078543,1958.1198098706586,0.5434882278320206,Warm
C00007,grp3,Installation Type 1,0.9545907233470629,4476.583584066914,4273.305161638023,0.5987367140264235,Hot
C00008,grp3,Core Basic Type 2,0.8127162502492689,455.60324085076354,370.27615750564706,0.5902882470089219,Hot
C00009,grp3,Premium Standard Type 1,0.7554249523858853,467.4757265403881,353.1428284633298,0.4884081166030268,Warm
C00010,grp1,Service Contracts,0.708182576420118,1100.4192081517845,779.2977099711168,0.4695601012998412,Warm
C00011,grp3,Core Replacement Type 2,0.6521173469709616,2012.7610575783106,1312.5564009544348,0.6109760974204023,Hot
C00012,grp1,Premium Products,0.6585321907911068,3803.698493661532,2504.857902139762,0.48997772886680274,Warm
C00013,grp3,Monitoring Type 2,0.5443929522694246,2909.760021589218,1584.0528485484992,0.29765093092838113,Cold
C00014,grp3,Repair Kits Type 1,0.5990368620266908,1008.8240945943792,604.3228199627345,0.4967064894082871,Warm
C00015,grp3,Core Replacement Type 2,0.7955648345957499,542.292262309668,431.428653966946,0.4485005205653225,Cold
C00016,grp1,Premium Products,0.784768528788823,3803.698493661532,2985.022870827023,0.6430097338670079,Hot
C00017,grp3,Sensors Type 2,0.7331068790757711,6109.414472026579,4478.853776567755,0.5140813737059617,Warm
