ID_Customer,product_group,recommended_product,model_probability,source_target_col,model_rank_per_customer,cohort_ML,cluster,Sales,historical_ltv,avg_monthly_revenue,active_months,months_since_last_purchase,activity_ratio_lifetime,avg_inactive_gap_months,prd_grp_1_coverage_pct,prd_grp_3_coverage_pct,sf_total_events,sf_active_months,sf_activity_without_recent_sales,sales_without_recent_sf_activity,model_score,value_score,recency_score,frequency_score,activity_score,sf_engagement_score,risk_penalty,lead_score,lead_tier,hot_reason,lead_rank_per_customer
C00001,grp3,Premium Custom Type 2,0.1751941876614167,purchase_flag_grp3_Premium Custom Type 2,1,Emerging,0,144433.27,144433.27,4248.037352941176,23,1,0.6764705882352942,0.5,0.6666666666666666,0.1428571428571428,117,29,0,0,0.1751941876614167,0.09469484481431042,0.9714285714285714,0.6285714285714286,0.8342857142857143,0.7284768211920529,0.017857142857142856,0.340430206341849,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,1
C00001,grp3,Premium Plus Type 2,0.16405874381747962,purchase_flag_grp3_Premium Plus Type 2,2,Emerging,0,144433.27,144433.27,4248.037352941176,23,1,0.6764705882352942,0.5,0.6666666666666666,0.1428571428571428,117,29,0,0,0.16405874381747962,0.09469484481431042,0.9714285714285714,0.6285714285714286,0.8342857142857143,0.7284768211920529,0.017857142857142856,0.33541925661207733,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,2
C00001,grp3,Repair Kits Type 2,0.15499105751569833,purchase_flag_grp3_Repair Kits Type 2,3,Emerging,0,144433.27,144433.27,4248.037352941176,23,1,0.6764705882352942,0.5,0.6666666666666666,0.1428571428571428,117,29,0,0,0.15499105751569833,0.09469484481431042,0.9714285714285714,0.6285714285714286,0.8342857142857143,0.7284768211920529,0.017857142857142856,0.33133879777627573,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,3
C00002,grp3,Compliance Safety Type 1,0.17922719232356676,purchase_flag_grp3_Compliance Safety Type 1,1,Emerging,0,4738.610000000001,4738.610000000001,152.8583870967742,8,1,0.2580645161290322,3.2857142857142856,0.6666666666666666,0.2285714285714285,45,13,0,0,0.17922719232356676,0.0030791779547778802,0.9714285714285714,0.2,0.6628571428571428,0.25165562913907286,0.1173469387755102,0.22742432864208434,Warm,recent/frequent buyer; low inactivity risk,1
C00002,grp3,Core Advanced Type 1,0.16774001668793356,purchase_flag_grp3_Core Advanced Type 1,2,Emerging,0,4738.610000000001,4738.610000000001,152.8583870967742,8,1,0.2580645161290322,3.2857142857142856,0.6666666666666666,0.2285714285714285,45,13,0,0,0.16774001668793356,0.0030791779547778802,0.9714285714285714,0.2,0.6628571428571428,0.25165562913907286,0.1173469387755102,0.2222550996060494,Warm,recent/frequent buyer; low inactivity risk,2
C00002,grp3,Facility Safety Type 2,0.1639613501845866,purchase_flag_grp3_Facility Safety Type 2,3,Emerging,0,4738.610000000001,4738.610000000001,152.8583870967742,8,1,0.2580645161290322,3.2857142857142856,0.6666666666666666,0.2285714285714285,45,13,0,0,0.1639613501845866,0.0030791779547778802,0.9714285714285714,0.2,0.6628571428571428,0.25165562913907286,0.1173469387755102,0.22055469967954328,Warm,recent/frequent buyer; low inactivity risk,3
C00003,grp3,Core Basic Type 2,0.2302837312607299,purchase_flag_grp3_Core Basic Type 2,1,Core,4,199361.8,199361.8,5696.051428571428,31,1,0.8857142857142857,0.1333333333333333,0.8333333333333334,0.2857142857142857,124,24,0,0,0.2302837312607299,0.13071851175736923,0.9714285714285714,0.8571428571428571,0.9257142857142857,0.7748344370860927,0.004761904761904761,0.39845741738194673,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,1
C00003,grp3,Personal Safety Type 1,0.2125624411198129,purchase_flag_grp3_Personal Safety Type 1,2,Core,4,199361.8,199361.8,5696.051428571428,31,1,0.8857142857142857,0.1333333333333333,0.8333333333333334,0.2857142857142857,124,24,0,0,0.2125624411198129,0.13071851175736923,0.9714285714285714,0.8571428571428571,0.9257142857142857,0.7748344370860927,0.004761904761904761,0.3904828368185341,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,2
C00003,grp3,Premium Custom Type 2,0.18859027443904283,purchase_flag_grp3_Premium Custom Type 2,3,Core,4,199361.8,199361.8,5696.051428571428,31,1,0.8857142857142857,0.1333333333333333,0.8333333333333334,0.2857142857142857,124,24,0,0,0.18859027443904283,0.13071851175736923,0.9714285714285714,0.8571428571428571,0.9257142857142857,0.7748344370860927,0.004761904761904761,0.37969536181218755,Hot,recent/frequent buyer; strong Salesforce engagement; low inactivity risk,3
C00004,grp3,Core Basic Type 2,0.18981263361865722,purchase_flag_grp3_Core Basic Type 2,1,Core,4,130129.62,130129.62,3614.7116666666666,26,0,0.7222222222222222,0.4,0.5,0.1142857142857142,100,23,0,0,0.18981263361865722,0.08531411091027034,1.0,0.7142857142857143,0.8857142857142857,0.6158940397350994,0.014285714285714287,0.344047902543759,Hot,recent/frequent buyer; low inactivity risk,1
