ID_Customer,reco_top1_grp3_product,reco_top1_grp3_probability,reco_top1_grp3_expected_order_value,reco_top1_grp3_expected_revenue,reco_top1_grp3_value_method,reco_top1_grp3_rank,reco_top2_grp3_product,reco_top2_grp3_probability,reco_top2_grp3_expected_order_value,reco_top2_grp3_expected_revenue,reco_top2_grp3_value_method,reco_top2_grp3_rank,reco_top3_grp3_product,reco_top3_grp3_probability,reco_top3_grp3_expected_order_value,reco_top3_grp3_expected_revenue,reco_top3_grp3_value_method,reco_top3_grp3_rank
C00001,Premium Standard Type 1,0.625074849408664,2803.981949595315,1752.6985948879037,supported segment-product estimate with shrinkage,1,Monitoring Type 2,0.5645024458904981,5033.085331170874,2841.1889798215466,supported segment-product estimate with shrinkage,2,Installation Type 2,0.5362045576601325,8132.8978464726715,4360.896892262923,supported segment-product estimate with shrinkage,3
C00002,Core Advanced Type 1,0.7298291775874433,180.91129380002147,132.03434077034998,supported segment-product estimate with shrinkage,1,Calibration Kits Type 1,0.6747686968691416,205.09322648535303,138.39048917220939,supported segment-product estimate with shrinkage,2,Sensors Type 2,0.6216798819080341,647.080412731654,402.2768745720166,supported segment-product estimate with shrinkage,3
C00003,Premium Custom Type 1,0.7908813015359583,2315.490538131079,1831.2781704913043,supported segment-product estimate with shrinkage,1,Extended Support Type 2,0.7898144632756715,3883.1338887978136,3066.955308208416,supported segment-product estimate with shrinkage,2,Sensors Type 1,0.7466608162203435,2573.0797304859766,1921.2178117646808,supported segment-product estimate with shrinkage,3
C00004,Premium Custom Type 1,0.5627550481432465,4066.645221803384,2288.5251275774667,supported segment-product estimate with shrinkage,1,Calibration Kits Type 1,0.538800011513314,1026.9690176242302,553.330918519752,supported segment-product estimate with shrinkage,2,Core Advanced Type 2,0.4544281480679591,1151.6357032006367,523.3356798544072,supported segment-product estimate with shrinkage,3
C00005,Training Type 2,0.7912803339535568,2559.631470781621,2025.3860449981148,supported segment-product estimate with shrinkage,1,Training Type 1,0.7586478066620608,4633.486845807477,3515.1846327693524,supported segment-product estimate with shrinkage,2,Extended Support Type 2,0.5815497335071665,3883.1338887978136,2258.2354782030156,supported segment-product estimate with shrinkage,3
C00006,Premium Standard Type 2,0.8860132785638625,2210.0343835078543,1958.1198098706586,supported segment-product estimate with shrinkage,1,Premium Custom Type 1,0.835638038457015,2376.747272360503,1986.1004285833915,supported segment-product estimate with shrinkage,2,Preventive Kits Type 1,0.8097891029445072,1026.1105171828585,830.9331152314314,supported segment-product estimate with shrinkage,3
C00007,Installation Type 1,0.9545907233470629,4476.583584066914,4273.305161638023,supported segment-product estimate with shrinkage,1,Extended Support Type 2,0.886081898032098,3489.9587969984523,3092.389314898206,supported segment-product estimate with shrinkage,2,Training Type 1,0.8833431847672876,4062.0517456468083,3588.1857256891717,supported segment-product estimate with shrinkage,3
C00008,Core Basic Type 2,0.8127162502492689,455.60324085076354,370.27615750564706,supported segment-product estimate with shrinkage,1,Core Basic Type 1,0.8109582090394017,596.7746497716353,483.9593011789216,supported segment-product estimate with shrinkage,2,Core Advanced Type 2,0.6925836796271079,644.1786187081177,446.1475980819759,supported segment-product estimate with shrinkage,3
C00009,Premium Standard Type 1,0.7554249523858853,467.4757265403881,353.1428284633298,supported segment-product estimate with shrinkage,1,Compliance Safety Type 2,0.712610792651532,360.87324949586866,257.16217236998506,supported segment-product estimate with shrinkage,2,Core Replacement Type 1,0.6769223011698801,218.00380621822848,147.57163816903582,supported segment-product estimate with shrinkage,3
C00010,Personal Safety Type 2,0.702467048560788,124.06189844575836,87.14939564004008,supported segment-product estimate with shrinkage,1,Core Basic Type 2,0.6769468619037956,104.95170386863737,71.0467265853305,supported segment-product estimate with shrinkage,2,Core Basic Type 1,0.610918344045698,121.81588130438696,74.41955648494339,supported segment-product estimate with shrinkage,3
C00011,Core Replacement Type 2,0.6521173469709616,2012.7610575783106,1312.5564009544348,supported segment-product estimate with shrinkage,1,Installation Type 2,0.6488053609547685,8734.460219499006,5666.964615457119,supported segment-product estimate with shrinkage,2,Premium Custom Type 1,0.5938328587064307,4758.337235452205,2825.6570032178374,supported segment-product estimate with shrinkage,3
C00012,Core Replacement Type 1,0.6257994399704021,836.5873635394456,523.5359035893002,supported segment-product estimate with shrinkage,1,Monitoring Type 1,0.5883487054608667,6068.815321944652,3570.5796383472093,supported segment-product estimate with shrinkage,2,Premium Standard Type 2,0.5776737796316066,2663.0513381565606,1538.3749318659081,supported segment-product estimate with shrinkage,3
C00013,Monitoring Type 2,0.5443929522694246,2909.760021589218,1584.0528485484992,supported segment-product estimate with shrinkage,1,Calibration Kits Type 1,0.49131196627463997,892.4453971970119,438.46910288961595,supported segment-product estimate with shrinkage,2,Premium Standard Type 2,0.4646991794473467,1820.7089313603817,846.0819464156248,supported segment-product estimate with shrinkage,3
