ID_Customer,customer_mean_event_value,customer_median_event_value,customer_value_events,value_segment,segment_median_customer_event_value,customer_value_multiplier_raw,customer_value_multiplier
C00001,6279.707391304348,5759.42,23,Distributor,2719.230769230769,2.3093690547936783,2.0
C00002,592.32625,483.405,8,SMB,919.5185714285715,0.6441699693783858,0.6441699693783858
C00003,6431.025806451613,5259.4,31,SMB,919.5185714285715,6.9939052959640815,2.0
C00004,5004.985384615385,4912.745000000001,26,Mid-Market,2157.5029999999997,2.3198046003251838,2.0
C00005,2301.320588235294,2211.27,17,SMB,919.5185714285715,2.502745088291087,2.0
C00006,2475.273333333333,2046.375,12,Distributor,2719.230769230769,0.9102843941537011,0.9102843941537011
C00007,1911.7999999999997,1443.55,14,Mid-Market,2157.5029999999997,0.8861169602081665,0.8861169602081665
C00008,2413.64052631579,1906.18,19,Mid-Market,2157.5029999999997,1.118719429968714,1.118719429968714
C00009,1124.4345454545453,716.17,11,Mid-Market,2157.5029999999997,0.5211740356581407,0.5211740356581407
C00010,493.8945454545455,557.92,11,SMB,919.5185714285715,0.5371229693460426,0.5371229693460426
C00011,10322.037272727273,9472.48,33,Enterprise,6144.3269375,1.6799296941264485,1.6799296941264485
C00012,4657.983333333334,2800.37,9,Mid-Market,2157.5029999999997,2.1589695742408397,2.0
C00013,4892.343333333333,3010.77,3,Enterprise,6144.3269375,0.7962374696363288,0.7962374696363288
C00014,2427.504375,2441.78,16,Distributor,2719.230769230769,0.8927173090523338,0.8927173090523338
C00015,1648.5400000000002,1416.99,6,SMB,919.5185714285715,1.7928294775371585,1.7928294775371585
C00016,8931.572142857143,8759.845,28,Mid-Market,2157.5029999999997,4.139772757144321,2.0
C00017,5828.113076923077,3035.84,13,Mid-Market,2157.5029999999997,2.70132327830973,2.0
C00018,8437.454285714286,8269.494999999999,14,Enterprise,6144.3269375,1.3732105032072581,1.3732105032072581
C00019,2170.7433333333333,1945.96,6,Enterprise,6144.3269375,0.3532922898494988,0.5
C00020,2020.4299999999996,340.24,3,Mid-Market,2157.5029999999997,0.9364668322593294,0.9364668322593294
C00021,1830.986153846154,1615.35,13,Distributor,2719.230769230769,0.6733471004243282,0.6733471004243282
C00022,2830.6257142857144,2269.59,7,Mid-Market,2157.5029999999997,1.3119915542577298,1.3119915542577298
C00023,3372.2675,2356.965,12,Mid-Market,2157.5029999999997,1.5630418590379713,1.5630418590379713
C00024,2406.59875,2400.8100000000004,24,SMB,919.5185714285715,2.617237785922136,2.0
C00025,1532.9944444444443,1134.33,9,Mid-Market,2157.5029999999997,0.7105410488163606,0.7105410488163606
C00026,567.7366666666667,454.195,6,SMB,919.5185714285715,0.6174281676384484,0.6174281676384484
C00027,1719.96,1719.96,1,SMB,919.5185714285715,1.8705005569684756,1.8705005569684756
C00028,1088.21875,733.6700000000001,8,SMB,919.5185714285715,1.1834657654704401,1.1834657654704401
C00029,10522.076666666666,8647.25,6,Distributor,2719.230769230769,3.8695048561999057,2.0
C00030,1029.405,794.2950000000001,10,Public Sector,2452.230909090909,0.41978306210226385,0.5
C00031,4159.15,3214.835,16,Mid-Market,2157.5029999999997,1.927760934747252,1.927760934747252
C00032,10054.54375,8603.21,32,SMB,919.5185714285715,10.93457387639184,2.0
C00033,10309.350000000002,5407.4,13,Enterprise,6144.3269375,1.6778648182081703,1.6778648182081703
C00034,2856.601379310345,2481.99,29,SMB,919.5185714285715,3.1066271721650014,2.0
C00035,2982.2607142857146,2975.045,14,Mid-Market,2157.5029999999997,1.3822741911764271,1.3822741911764271
C00036,717.5014285714286,519.05,14,Distributor,2719.230769230769,0.26386191149727223,0.5
C00037,7382.341785714286,6408.225,28,Mid-Market,2157.5029999999997,3.4217063826628684,2.0
C00038,5711.525,5711.525,2,Enterprise,6144.3269375,0.9295607245671568,0.9295607245671568
C00039,5089.367272727272,5196.53,11,Mid-Market,2157.5029999999997,2.3589155021927075,2.0
C00040,2330.3999999999996,2489.02,9,Mid-Market,2157.5029999999997,1.0801375478968047,1.0801375478968047
C00041,791.124,763.72,5,SMB,919.5185714285715,0.8603676147300684,0.8603676147300684
C00042,1538.021,1209.7849999999999,10,Public Sector,2452.230909090909,0.6271925675099557,0.6271925675099557
C00043,37462.52533333333,35583.524999999994,30,Enterprise,6144.3269375,6.0970917912411835,2.0
C00044,830.01,625.8399999999999,4,Public Sector,2452.230909090909,0.3384713882053225,0.5
C00045,857.9000000000001,857.9000000000001,1,Public Sector,2452.230909090909,0.3498447054148097,0.5
C00046,851.6116666666667,531.73,6,SMB,919.5185714285715,0.9261495016284401,0.9261495016284401
C00047,599.9814285714285,402.8,7,SMB,919.5185714285715,0.6524951721630728,0.6524951721630728
C00048,824.472,784.8699999999999,5,SMB,919.5185714285715,0.8966344189428318,0.8966344189428318
C00049,3007.0422222222223,2527.41,9,Mid-Market,2157.5029999999997,1.393760389775691,1.393760389775691
C00050,10574.052592592592,9657.84,27,Mid-Market,2157.5029999999997,4.901060435416587,2.0
C00051,547.952,343.87,5,SMB,919.5185714285715,0.5959118358519908,0.5959118358519908
C00052,654.38,654.38,1,SMB,919.5185714285715,0.711655012017158,0.711655012017158
C00053,1529.97,789.26,3,Enterprise,6144.3269375,0.2490053044967873,0.5
