ID_Customer,purchase_share_grp1_Automation Modules,purchase_share_grp1_Core Products,purchase_share_grp1_Maintenance Kits,purchase_share_grp1_Premium Products,purchase_share_grp1_Safety Solutions,purchase_share_grp1_Service Contracts
C00001,0.19142419601837674,0.16539050535987748,0.16539050535987748,0.4777947932618683,0.0,0.0
C00002,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.14285714285714285,0.0
C00003,0.0,0.3282674772036474,0.12006079027355623,0.15045592705167174,0.1474164133738602,0.25379939209726443
C00004,0.2631578947368421,0.4780701754385965,0.25877192982456143,0.0,0.0,0.0
C00005,0.15384615384615385,0.21794871794871795,0.0,0.15384615384615385,0.0,0.47435897435897434
C00006,0.03592814371257485,0.1377245508982036,0.23353293413173654,0.07784431137724551,0.25149700598802394,0.2634730538922156
C00007,0.32,0.16,0.18,0.12,0.0,0.22
C00008,0.6577181208053692,0.12080536912751678,0.2214765100671141,0.0,0.0,0.0
C00009,0.14583333333333334,0.5,0.14583333333333334,0.0,0.0,0.20833333333333334
C00010,0.13333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.0
C00011,0.12813852813852813,0.2831168831168831,0.0,0.28225108225108225,0.0,0.3064935064935065
C00012,0.12781954887218044,0.15037593984962405,0.3684210526315789,0.0,0.0,0.3533834586466165
C00013,0.37037037037037035,0.0,0.0,0.0,0.35185185185185186,0.2777777777777778
C00014,0.0,0.5481335952848723,0.22789783889980353,0.0,0.22396856581532418,0.0
C00015,0.3103448275862069,0.1724137931034483,0.3103448275862069,0.0,0.13793103448275862,0.06896551724137931
C00016,0.2961876832844575,0.3284457478005865,0.20039100684261973,0.0,0.07526881720430108,0.09970674486803519
C00017,0.13157894736842105,0.14210526315789473,0.0,0.08421052631578947,0.0,0.6421052631578947
C00018,0.6054421768707483,0.10204081632653061,0.0,0.04081632653061224,0.0,0.25170068027210885
C00019,0.24285714285714285,0.22857142857142856,0.07142857142857142,0.24285714285714285,0.21428571428571427,0.0
C00020,0.2222222222222222,0.4444444444444444,0.2777777777777778,0.0,0.0,0.05555555555555555
C00021,0.0,0.2765957446808511,0.0,0.48936170212765956,0.0,0.23404255319148937
C00022,0.14423076923076922,0.5480769230769231,0.04807692307692308,0.038461538461538464,0.0,0.22115384615384615
C00023,0.7307692307692307,0.0,0.2692307692307692,0.0,0.0,0.0
C00024,0.2875,0.125,0.15625,0.159375,0.271875,0.0
C00025,0.33962264150943394,0.3018867924528302,0.0,0.11320754716981132,0.0,0.24528301886792453
C00026,0.0,0.5,0.1875,0.125,0.0,0.1875
C00027,0.25,0.0,0.0,0.0,0.0,0.75
C00028,0.56,0.28,0.08,0.0,0.08,0.0
C00029,0.0,0.20853080568720378,0.43601895734597157,0.0,0.17061611374407584,0.1848341232227488
C00030,0.1509433962264151,0.24528301886792453,0.5283018867924528,0.0,0.07547169811320754,0.0
C00031,0.2578397212543554,0.0,0.445993031358885,0.2961672473867596,0.0,0.0
C00032,0.29971988795518206,0.44164332399626516,0.0,0.2203548085901027,0.0,0.03828197945845005
C00033,0.38095238095238093,0.3219954648526077,0.0,0.20408163265306123,0.0,0.09297052154195011
C00034,0.27424749163879597,0.1939799331103679,0.14715719063545152,0.3010033444816054,0.08361204013377926,0.0
C00035,0.43243243243243246,0.0,0.34459459459459457,0.14864864864864866,0.07432432432432433,0.0
C00036,0.0,0.6210526315789474,0.0,0.14736842105263157,0.23157894736842105,0.0
C00037,0.4886561954624782,0.16579406631762653,0.17452006980802792,0.0,0.0,0.17102966841186737
C00038,0.42857142857142855,0.17142857142857143,0.0,0.0,0.11428571428571428,0.2857142857142857
C00039,0.3790322580645161,0.14516129032258066,0.18548387096774194,0.0,0.0,0.2903225806451613
C00040,0.6521739130434783,0.08695652173913043,0.10869565217391304,0.0,0.043478260869565216,0.10869565217391304
C00041,0.4666666666666667,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0
C00042,0.29411764705882354,0.11764705882352941,0.0,0.0,0.11764705882352941,0.47058823529411764
C00043,0.4754834254143646,0.1180939226519337,0.0,0.040400552486187846,0.09288674033149172,0.2731353591160221
C00044,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.3076923076923077
C00045,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
C00046,0.3333333333333333,0.4166666666666667,0.041666666666666664,0.0,0.16666666666666666,0.041666666666666664
C00047,0.0,0.35294117647058826,0.23529411764705882,0.058823529411764705,0.0,0.35294117647058826
C00048,0.375,0.125,0.3125,0.1875,0.0,0.0
C00049,0.5375,0.1125,0.0,0.175,0.175,0.0
C00050,0.301798800799467,0.0,0.4457028647568288,0.0,0.2524983344437042,0.0
C00051,0.16666666666666666,0.7777777777777778,0.05555555555555555,0.0,0.0,0.0
C00052,0.5,0.0,0.0,0.5,0.0,0.0
C00053,0.19230769230769232,0.0,0.0,0.19230769230769232,0.6153846153846154,0.0
C00054,0.2247191011235955,0.5056179775280899,0.2696629213483146,0.0,0.0,0.0
C00055,0.2,0.15,0.05,0.05,0.55,0.0
C00056,0.5892857142857143,0.4107142857142857,0.0,0.0,0.0,0.0
C00057,1.0,0.0,0.0,0.0,0.0,0.0
C00058,0.09649122807017543,0.20175438596491227,0.4649122807017544,0.05263157894736842,0.0,0.18421052631578946
C00059,0.3358208955223881,0.39552238805970147,0.23134328358208955,0.03731343283582089,0.0,0.0
C00060,0.09844559585492228,0.15544041450777202,0.08290155440414508,0.08808290155440414,0.12435233160621761,0.45077720207253885
C00061,0.0,0.5853658536585366,0.0,0.2682926829268293,0.14634146341463414,0.0
C00062,0.0,0.35294117647058826,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.23529411764705882
C00063,0.5125,0.0,0.075,0.4125,0.0,0.0
C00064,0.23868312757201646,0.37448559670781895,0.11934156378600823,0.08641975308641975,0.18106995884773663,0.0
C00065,0.18,0.46,0.06,0.12,0.18,0.0
C00066,0.6923076923076923,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0
C00067,0.235861464270057,0.13371328364752302,0.2104340201665936,0.1863217886891714,0.0,0.23366944322665498
C00068,0.0,0.14754098360655737,0.0,0.39344262295081966,0.26229508196721313,0.19672131147540983
C00069,0.10344827586206896,0.0,0.7241379310344828,0.06896551724137931,0.0,0.10344827586206896
C00070,0.2077922077922078,0.4025974025974026,0.012987012987012988,0.2987012987012987,0.0,0.07792207792207792
C00071,0.25,0.20454545454545456,0.09090909090909091,0.0,0.0,0.45454545454545453
C00072,0.20588235294117646,0.0,0.553921568627451,0.0,0.0,0.24019607843137256
C00073,0.5769230769230769,0.038461538461538464,0.19230769230769232,0.11538461538461539,0.0,0.07692307692307693
C00074,0.0,0.47540983606557374,0.06557377049180328,0.21311475409836064,0.0,0.2459016393442623
C00075,0.35714285714285715,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.0
C00076,0.1724137931034483,0.20689655172413793,0.0,0.06896551724137931,0.5517241379310345,0.0
C00077,0.32941176470588235,0.23529411764705882,0.0,0.0,0.0,0.43529411764705883
C00078,0.24,0.0,0.0,0.184,0.328,0.248
C00079,0.18181818181818182,0.3582887700534759,0.18716577540106952,0.0855614973262032,0.0,0.18716577540106952
C00080,0.0,0.6623376623376623,0.0,0.0,0.0,0.33766233766233766
